[2017-09-15 09:15:22] Shadowsocks started
[2017-09-15 09:16:37] Shadowsocks started
[2017-09-15 09:16:49] Detected: PAC file 'pac.txt' was created.
[2017-09-15 09:16:50] Detected: PAC file 'pac.txt' was changed.
[2017-09-15 09:17:24] Shadowsocks started
[2017-09-15 09:25:39] Shadowsocks started
[2017-09-15 09:26:01] Shadowsocks started
[2017-09-15 09:29:45] Shadowsocks started
[2017-09-15 09:30:04] Shadowsocks started
[2017-09-15 09:30:08] Shadowsocks started
[2017-09-15 09:34:14] Shadowsocks started
[2017-09-15 09:34:19] Shadowsocks started
[2017-09-15 09:34:23] Shadowsocks started
[2017-09-15 12:48:04] Shadowsocks started
[2017-09-15 16:39:27] 47.89.252.213:8388 timed out
[2017-09-15 16:40:49] 47.89.252.213:8388 timed out
[2017-09-15 16:40:57] 47.89.252.213:8388 timed out
[2017-09-15 16:43:35] 47.89.252.213:8388 timed out
[2017-09-15 16:46:19] 47.89.252.213:8388 timed out
[2017-09-15 16:47:41] 47.89.252.213:8388 timed out
[2017-09-15 16:48:26] 47.89.252.213:8388 timed out
[2017-09-15 16:50:46] 47.89.252.213:8388 timed out
[2017-09-15 16:57:19] 47.89.252.213:8388 timed out
[2017-09-15 17:05:52] 47.89.252.213:8388 timed out
[2017-09-15 17:05:55] 47.89.252.213:8388 timed out
[2017-09-15 17:06:14] 47.89.252.213:8388 timed out
[2017-09-15 17:07:34] 47.89.252.213:8388 timed out
[2017-09-15 17:08:56] 47.89.252.213:8388 timed out
[2017-09-15 17:13:28] 47.89.252.213:8388 timed out
[2017-09-15 17:13:29] 47.89.252.213:8388 timed out
[2017-09-15 17:13:31] 47.89.252.213:8388 timed out
[2017-09-15 17:19:22] 47.89.252.213:8388 timed out
[2017-09-15 17:24:11] 47.89.252.213:8388 timed out
[2017-09-15 17:24:20] 47.89.252.213:8388 timed out
[2017-09-15 17:25:47] 47.89.252.213:8388 timed out
[2017-09-15 17:26:37] 47.89.252.213:8388 timed out
[2017-09-15 17:26:52] 47.89.252.213:8388 timed out
[2017-09-15 17:28:37] 47.89.252.213:8388 timed out
[2017-09-15 17:29:37] 47.89.252.213:8388 timed out
[2017-09-15 17:33:29] 47.89.252.213:8388 timed out
[2017-09-15 17:34:48] 47.89.252.213:8388 timed out
[2017-09-15 17:34:48] 47.89.252.213:8388 timed out
[2017-09-15 17:34:48] 47.89.252.213:8388 timed out
[2017-09-15 17:34:49] 47.89.252.213:8388 timed out
[2017-09-15 17:34:57] 47.89.252.213:8388 timed out
[2017-09-15 17:35:02] 47.89.252.213:8388 timed out
[2017-09-15 17:35:03] 47.89.252.213:8388 timed out
[2017-09-15 17:36:06] 47.89.252.213:8388 timed out
[2017-09-15 17:39:49] Shadowsocks started
[2017-09-15 19:48:12] 47.89.252.213:8388 timed out
[2017-09-15 19:48:12] 47.89.252.213:8388 timed out
[2017-09-15 19:48:16] 47.89.252.213:8388 timed out
[2017-09-15 19:48:16] 47.89.252.213:8388 timed out
[2017-09-15 19:48:16] 47.89.252.213:8388 timed out
[2017-09-15 19:48:33] 47.89.252.213:8388 timed out
[2017-09-15 19:51:04] 47.89.252.213:8388 timed out
[2017-09-16 01:49:08] 47.89.252.213:8388 timed out
[2017-09-16 11:25:12] Shadowsocks started
[2017-09-18 09:05:18] Shadowsocks started
[2017-09-18 11:33:52] Shadowsocks started
[2017-09-18 12:36:14] Shadowsocks started
[2017-09-18 13:06:44] Shadowsocks started
[2017-09-18 15:22:33] 47.89.252.213:8388 timed out
[2017-09-18 15:22:48] 47.89.252.213:8388 timed out
[2017-09-18 15:22:55] 47.89.252.213:8388 timed out
[2017-09-18 18:30:49] Shadowsocks started
[2017-09-18 18:32:42] 47.89.252.213:8388 timed out
[2017-09-18 18:34:20] 47.89.252.213:8388 timed out
[2017-09-18 18:34:21] 47.89.252.213:8388 timed out
[2017-09-18 18:34:21] 47.89.252.213:8388 timed out
[2017-09-18 18:35:27] 47.89.252.213:8388 timed out
[2017-09-18 18:35:27] 47.89.252.213:8388 timed out
[2017-09-18 18:35:27] 47.89.252.213:8388 timed out
[2017-09-18 18:35:27] 47.89.252.213:8388 timed out
[2017-09-18 18:36:42] 47.89.252.213:8388 timed out
[2017-09-20 13:09:47] Shadowsocks started
[2017-09-20 15:53:58] Shadowsocks started
[2017-09-20 18:19:33] 47.89.252.213:8388 timed out
[2017-09-20 18:20:12] 47.89.252.213:8388 timed out
[2017-09-20 21:28:38] 47.89.252.213:8388 timed out
[2017-09-20 21:35:04] 47.89.252.213:8388 timed out
[2017-09-20 21:35:19] 47.89.252.213:8388 timed out
[2017-09-20 21:35:37] 47.89.252.213:8388 timed out
[2017-09-20 23:26:06] 47.89.252.213:8388 timed out
[2017-09-20 23:27:06] 47.89.252.213:8388 timed out
[2017-09-20 23:27:48] 47.89.252.213:8388 timed out
[2017-09-20 23:54:56] 47.89.252.213:8388 timed out
[2017-09-21 00:02:00] 47.89.252.213:8388 timed out
[2017-09-21 00:02:15] 47.89.252.213:8388 timed out
[2017-09-21 00:02:30] 47.89.252.213:8388 timed out
[2017-09-21 00:03:18] 47.89.252.213:8388 timed out
[2017-09-21 00:03:55] 47.89.252.213:8388 timed out
[2017-09-21 00:04:18] 47.89.252.213:8388 timed out
[2017-09-21 00:04:25] 47.89.252.213:8388 timed out
[2017-09-21 00:04:33] 47.89.252.213:8388 timed out
[2017-09-21 00:04:37] 47.89.252.213:8388 timed out
[2017-09-21 00:04:37] 47.89.252.213:8388 timed out
[2017-09-21 00:04:38] 47.89.252.213:8388 timed out
[2017-09-21 00:05:29] 47.89.252.213:8388 timed out
[2017-09-21 00:06:10] 47.89.252.213:8388 timed out
[2017-09-21 00:06:25] 47.89.252.213:8388 timed out
[2017-09-21 18:54:10] 47.89.252.213:8388 timed out
[2017-09-21 18:56:55] 47.89.252.213:8388 timed out
[2017-09-21 18:57:37] 47.89.252.213:8388 timed out
[2017-09-21 18:58:51] 47.89.252.213:8388 timed out
[2017-09-21 18:59:00] 47.89.252.213:8388 timed out
[2017-09-21 19:00:45] 47.89.252.213:8388 timed out
[2017-09-21 19:01:00] 47.89.252.213:8388 timed out
[2017-09-21 19:01:22] 47.89.252.213:8388 timed out
[2017-09-21 19:01:37] 47.89.252.213:8388 timed out
[2017-09-21 19:01:52] 47.89.252.213:8388 timed out
[2017-09-21 19:03:05] 47.89.252.213:8388 timed out
[2017-09-21 19:04:04] 47.89.252.213:8388 timed out
[2017-09-21 19:04:09] 47.89.252.213:8388 timed out
[2017-09-21 19:04:53] 47.89.252.213:8388 timed out
[2017-09-21 19:05:08] 47.89.252.213:8388 timed out
[2017-09-21 19:06:26] 47.89.252.213:8388 timed out
[2017-09-21 19:08:31] 47.89.252.213:8388 timed out
[2017-09-21 19:08:46] 47.89.252.213:8388 timed out
[2017-09-21 19:08:49] 47.89.252.213:8388 timed out
[2017-09-21 19:09:31] 47.89.252.213:8388 timed out
